ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,review_pool_variant,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,1,https://openalex.org/W4414199528,PESTO: Real‑Time Pitch Estimation with Self‑Supervised Transposition‑Equivariant Objective,2025,5,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,0.812312,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.454545,1,0.876733,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,2,https://openalex.org/W4414799845,On the Lack of a Perceptually Motivated Evaluation Metric for Packet Loss Concealment in Networked Music Performances,2025,3,jaes,Music Technology and Sound Studies;Speech and Audio Processing;Music and Audio Processing,0.752191,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.272727,1,0.886925,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,3,https://openalex.org/W4407236737,The GigaMIDI Dataset with Features for Expressive Music Performance Detection,2025,2,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.722518,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.181818,1,0.900149,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,4,https://openalex.org/W4411141659,Distilling DDSP: Exploring Real-Time Audio Generation on Embedded Systems,2025,1,jaes,Music Technology and Sound Studies;Music and Audio Processing;Speech and Audio Processing,0.696332,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.986613,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,5,https://openalex.org/W4410025413,Methods for Pitch Analysis in Contemporary Popular Music: Deviations From 12-Tone Equal Temperament in Vitalic's Work,2025,1,jaes,Music and Audio Processing;Diverse Musicological Studies;Music Technology and Sound Studies,0.695414,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.96734,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,6,https://openalex.org/W4406354632,Producer vs. Rapper: Who Dominates the Hip Hop Sound?,2025,1,jaes,Music Technology and Sound Studies;Music and Audio Processing;Neuroscience and Music Perception,0.695055,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.959798,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,7,https://openalex.org/W4412696666,Style-Based Composer Identification and Attribution of Symbolic Music Scores: A Systematic Survey,2025,1,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.694212,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.942087,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,8,https://openalex.org/W4411141874,"Physical Modeling of a Spring Reverb Tank Incorporating Helix Angle, Damping, and Magnetic Bead Coupling",2025,1,jaes,Spacecraft and Cryogenic Technologies;Fluid Dynamics Simulations and Interactions;Oil and Gas Production Techniques,0.690114,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.856039,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,9,https://openalex.org/W4409215217,Modeling Time-Variant Responses of Optical Compressors With Selective State Space Models,2025,3,jaes,Extremum Seeking Control Systems;Real-time simulation and control systems,0.6896,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.272727,1,0.972509,0.333333,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,10,https://openalex.org/W7134965261,Investigating Auditory-Visual Perception Using Multi-Modal Neural Networks with the SoundActions Dataset,2026,0,tismir,Music and Audio Processing;Multisensory perception and integration;Tactile and Sensory Interactions,0.665227,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.969767,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,11,https://openalex.org/W4411141538,Generating Music Reactive Videos by Applying Network Bending to Stable Diffusion,2025,0,jaes,Music Technology and Sound Studies;Simulation and Modeling Applications;Video Analysis and Summarization,0.665136,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.96786,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,12,https://openalex.org/W4401237242,"Introducing the ""Cockpit Party Problem"": Blind Source Separation Enhances Aircraft Cockpit Speech Transcription",2025,1,jaes,Speech and Audio Processing;Blind Source Separation Techniques;Vehicle Noise and Vibration Control,0.665,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,0.958333,0.870318,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,13,https://openalex.org/W4411141958,Reverse Engineering of Music Mixing Graphs With Differentiable Processors and Iterative Pruning,2025,0,jaes,Music Technology and Sound Studies;Modular Robots and Swarm Intelligence;Cellular Automata and Applications,0.664412,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.952644,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,14,https://openalex.org/W4414011937,A Similarity-Based Conditioning Method for Controllable Sound Effect Synthesis,2025,0,jaes,Acoustic Wave Phenomena Research;Speech and Audio Processing;Music Technology and Sound Studies,0.663755,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.938846,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,15,https://openalex.org/W4412072221,Copy-Move Audio Forgery Detection Using Dominant Resonance Frequencies and Dynamic Time Warping,2025,0,jaes,Digital Media Forensic Detection;Music and Audio Processing;Music Technology and Sound Studies,0.663476,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.932987,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,16,https://openalex.org/W4410784756,Predicting Eurovision Song Contest Results: A Hit Song Science Approach,2025,0,tismir,Music and Audio Processing;Music History and Culture;Diverse Musicological Studies,0.6632,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.927206,0,true,,,,
